,time_s,speed_mph,speed_mph_capped,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
150,150,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
151,151,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
152,152,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
153,153,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
154,154,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
155,155,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
156,156,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
157,157,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
158,158,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
159,159,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
160,160,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
161,161,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
162,162,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
163,163,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
164,164,3.3,3.3,1.475232,1.475232,999.0002880000017,1.475232,3672.6677929503257,3672.6677929503257,609885.9151497076
165,165,6.6,6.6,2.950464,2.950464,1001.9507520000017,1.475232,7360.945415439554,7360.945415439554,617246.8605651471
166,166,9.9,9.9,4.425696,4.425696,1006.3764480000017,1.475232,11080.442697006587,11080.442697006587,628327.3032621538
167,167,13.2,13.2,5.900928,5.900928,1012.2773760000017,1.475232,14846.76946719033,14846.76946719033,643174.0727293441
168,168,16.5,16.5,7.3761600000000005,7.3761600000000005,1019.6535360000017,1.475232,18675.53555552968,18675.53555552968,661849.6082848738
169,169,19.8,19.8,8.851392,8.851392,1028.5049280000017,1.475232,22582.35079156355,22582.35079156355,684431.9590764373
170,170,22.2,22.2,9.924288,9.924288,1038.4292160000016,1.072896,19823.45221316725,19823.45221316725,704255.4112896045
171,171,24.3,24.3,10.863072,10.863072,1049.2922880000017,0.9387840000000001,19805.96619747118,19805.96619747118,724061.3774870756
172,172,25.8,25.0,11.176,11.176,1060.4682880000016,0.31292799999999943,10527.2845636711,10527.2845636711,734588.6620507467
173,173,26.4,25.0,11.176,11.176,1071.6442880000016,0.0,5571.443485953734,5571.443485953734,740160.1055367005
174,174,25.7,25.0,11.176,11.176,1082.8202880000015,0.0,5571.443485953734,5571.443485953734,745731.5490226542
175,175,25.1,25.0,11.176,11.176,1093.9962880000014,0.0,5571.443485953734,5571.443485953734,751302.9925086079
176,176,24.7,24.7,11.041888,11.041888,1105.0381760000014,-0.134112,3379.4802566973426,3379.4802566973426,754682.4727653053
177,177,25.0,25.0,11.176,11.176,1116.2141760000013,0.134112,7695.375376404038,7695.375376404038,762377.8481417093
178,178,25.2,25.0,11.176,11.176,1127.3901760000012,0.0,5571.443485953734,5571.443485953734,767949.2916276631
179,179,25.4,25.0,11.176,11.176,1138.5661760000012,0.0,5571.443485953734,5571.443485953734,773520.7351136168
180,180,25.8,25.0,11.176,11.176,1149.742176000001,0.0,5571.443485953734,5571.443485953734,779092.1785995705
181,181,27.2,25.0,11.176,11.176,1160.918176000001,0.0,5571.443485953734,5571.443485953734,784663.6220855243
182,182,26.5,25.0,11.176,11.176,1172.094176000001,0.0,5571.443485953734,5571.443485953734,790235.065571478
183,183,24.0,24.0,10.72896,10.72896,1182.8231360000009,-0.44703999999999944,-1533.1321403526804,0.0,790235.065571478
184,184,22.7,22.7,10.147808,10.147808,1192.9709440000008,-0.5811520000000012,-3478.385619608908,0.0,790235.065571478
185,185,19.4,19.4,8.672576,8.672576,1201.6435200000008,-1.475232,-14155.645352385509,0.0,790235.065571478
186,186,17.7,17.7,7.912608,7.912608,1209.5561280000009,-0.7599679999999998,-4976.052098569993,0.0,790235.065571478
187,187,17.2,17.2,7.689088,7.689088,1217.245216000001,-0.22351999999999972,987.8464463186199,987.8464463186199,791222.9120177967
